"",State/UT :S01 ,"","",Code :S01 
"","","","",No. :1 
"",Constituency :Adilabad ,"","",""
"","",MEN ,WOMEN ,TOTAL 
"",I. CANDIDATES ,"","",""
"",1. NOMINATED ,13 ,0 ,13 
"",2. NOMINATION REJECTED ,2 ,0 ,2 
"",3. WITHDRAWN ,2 ,0 ,2 
"",4. CONTESTED ,9 ,0 ,9 
"",5. FORFEITED DEPOSIT ,7 ,0 ,7 
"",II. ELECTORS ,"","",""
"",1. GENERAL ,552801 ,577839 ,1130640 
"",2. SERVICE ,475 ,96 ,571 
"",3. TOTAL ,553276 ,577935 ,1131211 
"",III.VOTERS ,"","",""
"",1. GENERAL ,426628 ,436702 ,863330 
"",2. PROXY ,"","",0 
"",3. POSTAL ,"","",251 
"",4. TOTAL ,"","",863581 
"",III(A). POLLING PERCENTAGE 76.34 ,"","",""
"",IV. VOTES ,"","",""
"",1. REJECTED VOTES (POSTAL) ,"","",584 
"",2. VOTES NOT RETREIVED FROM EVM ,"","",0 
"",3. TOTAL VALID VOTES POLLED ,"","",862997 
"",4. TENDERED VOTES ,"","",2 
"",V. POLLING STATIONS ,"","",""
"",NUMBER 1464 ,AVERAGE ,ELECTORS PER POLLING S,TATION 772 
"","DATE(s) OF RE-POLL, IF ANY : ","","",NIL 
"",NUMBER OF POLLING STATIONS WHERE RE-POLL WA,S ORDERED ,"",NIL 
"",VI. DATES ,"","",""
"",POLLING  CO,UNTING  ,DEC,LARATION OF RESULT 
"",16-Apr-2009 16,-May-2009 ,16-,May-2009  
"",VII. RESULT ,"","",""
"",PARTY CA,NDIDATE  ,"",VOTES 
"",WINNER TDP R,athod Ramesh,"",372268 
"",RUNER-UP INC Ko,tnak Ramesh,"",257181 
"",MARGIN 115087 ,"","",""


"",State/UT :S01 ,"","",Code :S01 
"","","","",No. :2 
"",Constituency :Peddapalle ,"","",""
"","",MEN ,WOMEN ,TOTAL 
"",I. CANDIDATES ,"","",""
"",1. NOMINATED ,21 ,2 ,23 
"",2. NOMINATION REJECTED ,2 ,0 ,2 
"",3. WITHDRAWN ,6 ,0 ,6 
"",4. CONTESTED ,13 ,2 ,15 
"",5. FORFEITED DEPOSIT ,10 ,2 ,12 
"",II. ELECTORS ,"","",""
"",1. GENERAL ,665659 ,649667 ,1315326 
"",2. SERVICE ,272 ,44 ,316 
"",3. TOTAL ,665931 ,649711 ,1315642 
"",III.VOTERS ,"","",""
"",1. GENERAL ,457232 ,445505 ,902737 
"",2. PROXY ,"","",0 
"",3. POSTAL ,"","",1347 
"",4. TOTAL ,"","",904084 
"",III(A). POLLING PERCENTAGE 68.72 ,"","",""
"",IV. VOTES ,"","",""
"",1. REJECTED VOTES (POSTAL) ,"","",1248 
"",2. VOTES NOT RETREIVED FROM EVM ,"","",0 
