ANDHRA PRADESH,"",""
Constituency  1 SRIKAKULAM,"",""
1 . YERRANNAIDU KINJARAPU,M TDP 373851,56.81%
2 . KANITHI VISWANADAHAM,M INC 276969,42.09%
3 . APPALA NAIDU GOLIVE,M AJBP 7280,1.11%
ELECTORS : 985232 VOTERS  : 676413 POLL PERCENTAG,E  : 68.66%  VALID VOTES ,658100
Constituency  2 PARVATHIPURAM (ST),"",""
1 . DADICHILUKA VEERA GOURI SANKARA RAO,M TDP 304000,49.54%
2 . KISHORE CHANDRA SURYANARAYANA DEO VYRICHERLA,M INC 290719,47.38%
3 . ARIKA GUMPA SWAMY,M IND 9750,1.59%
4 . VOOYAKA MUTYALU,M IND 9172,1.49%
ELECTORS : 911609 VOTERS  : 637051 POLL PERCENTAG,E  : 69.88%  VALID VOTES ,613641
Constituency  3 BOBBILI,"",""
1 . BOTCHA SATYANARAYANA,M INC 339768,48.95%
2 . ARUNA PADALA,F TDP 335947,48.40%
3 . MANJULA  DASARI,F AJBP 16425,2.37%
4 . ENUMULA APPA RAO,M IND 2010,0.29%
ELECTORS : 949773 VOTERS  : 716703 POLL PERCENTAG,E  : 75.46%  VALID VOTES ,694150
Constituency  4 VISAKHAPATNAM,"",""
1 . M.V.V.S.MURTHY,M TDP 442036,49.96%
2 . T.SUBBARAMI REDDY,M INC 403117,45.56%
3 . CH.NARSINGA RAO,M CPM 26610,3.01%
4 . NAVISH YADAV(T.N.V.MURTHI B.E.),M SP 9377,1.06%
5 . APPA RAO GUDIVADA,M IND 2263,0.26%
6 . NANDURI PANI,M IND 1458,0.16%
ELECTORS : 1420606 VOTERS  : 914936 POLL PERCENTAG,E  : 64.40%  VALID VOTES ,884861
Constituency  5 BHADRACHALAM (ST),"",""
1 . DUMPA MARY VIJAYA KUMARI,F TDP 293593,40.30%
2 . T.RATNABAI,F INC 256490,35.21%
3 . RAMAIAH SODE,M CPI 122496,16.81%
4 . PANGI SATYANARAYANA,M NTRTDP(LP) 24425,3.35%
5 . K. RANGA REDDY,M IND 16893,2.32%
6 . KURASAM SUBBA RAO,M IND 14659,2.01%
ELECTORS : 1085536 VOTERS  : 759883 POLL PERCENTAG,E  : 70.00%  VALID VOTES ,728556
Constituency  6 ANAKAPALLI,"",""
1 . GANTA SRINIVASA RAO,M TDP 392984,52.75%
2 . GURUNADHA RAO GUDIVADA,M INC 334520,44.90%
3 . APPALA TRINADHA RAO BHEESETTI,M ATDP 13918,1.87%
4 . CHODAY SRINIVASA RAO,M NTRTDP(LP) 3562,0.48%
ELECTORS : 1035708 VOTERS  : 764079 POLL PERCENTAG,E  : 73.77%  VALID VOTES ,744984
Constituency  7 KAKINADA,"",""
1 . MUDRAGADA PADMANABHAM,M TDP 435811,53.64%
2 . THOTA SUBBARAO,M INC 314376,38.69%
3 . BODDU KRISHNA MOHAN,M ATDP 44466,5.47%
4 . NAINALASETTI MURTHY,M CPI(ML)(L) 8855,1.09%
5 . PACHIPALA RAMA PRAKASH,M IND 6210,0.76%
6 . CHANDRASEKHARARAO P.,M IND 1502,0.18%
7 . MUTYALA RAMALINGA CHOWDARY,M AJBP 1321,0.16%
ELECTORS : 1171987 VOTERS  : 836085 POLL PERCENTAG,E  : 71.34%  VALID VOTES ,812541
Constituency  8 RAJAHMUNDRY,"",""
1 . SATYANARAYANA RAO S.B.P.B.K,M BJP 411956,51.73%
2 . CHITTURI RAVINDRA,M INC 351925,44.20%
3 . BOMMIDI RAM MOHAN RAO,M AJBP 15727,1.98%


ANDHRA PRADESH,"",""
4 . VELAGALA SATHI REDDY (ADVOCATE),M ATDP 10932,1.37%
5 . M.K.R.C. MURTY,M IND 2839,0.36%
6 . NARAPAREDDY SOMA BRAHMA RANGA RAO,M IND 1565,0.20%
7 . SRI HARI RAO RIMMALAPUDI,M IND 1342,0.17%
ELECTORS : 1137225 VOTERS  : 823798 POLL PERCENTAG,E  : 72.44%  VALID VOTES ,796286
Constituency  9 AMALAPURAM (SC),"",""
1 . GANTI MOHANACHANDRA BALAYOGI,M TDP 368476,55.56%
2 . GOLLAPALLI SURYARAO,M INC 249597,37.63%
3 . AKUMARTHI SURYANARAYANA,M MCPI(S) 26487,3.99%
4 . SAKA YESURATNAM,M ATDP 16769,2.53%
5 . AKUMARTHI ASEERVADAMU,M AJBP 1920,0.29%
ELECTORS : 908257 VOTERS  : 685230 POLL PERCENTAG,E  : 75.44%  VALID VOTES ,663249
Constituency  10 NARASAPUR,"",""
1 . UPPALAPATI VENKATA KRISHNAM RAJU,M BJP 421099,59.78%
2 . KANUMURU BAPIRAJU,M INC 255151,36.22%
3 . RUDRARAJU SATYANARAYANA RAJU(R.S),M CPM 28203,4.00%
ELECTORS : 1020409 VOTERS  : 733626 POLL PERCENTAG,E  : 71.90%  VALID VOTES ,704453
Constituency  11 ELURU,"",""
1 . BOLLA BULLI RAMAIAH,M TDP 435884,52.23%
2 . MAGANTI VENKATESWARA RAO (BABU),M INC 373653,44.78%
3 . DAYYALA SAREEN BABU,M IND 13068,1.57%
4 . G.S.R. CHOWDARY,M ATDP 6862,0.82%
5 . MAGANTI SRIDEVI,F NTRTDP(LP) 2683,0.32%
6 . KARUTURI RAMAKRISHNA (KITTU),M IND 1242,0.15%
7 . KODURI SRIRAMULU,M IND 753,0.09%
8 . SUNKAVALLI SRIGOPINADH,M IND 324,0.04%
ELECTORS : 1147205 VOTERS  : 852429 POLL PERCENTAG,E  : 74.30%  VALID VOTES ,834469
Constituency  12 MACHILIPATNAM,"",""
