Election Commission of Indi,"a, General Electi","ons, 1992 (10th LOK SABHA)",""
CONSTITUENC,Y DATA, - SUMMARY,""
STATE/UT : PUNJAB,"",CODE :,S19
CONSTITUENCY : GURDASPUR,"",NO :,1
"",MALE,FEMALE,TOTAL
I.  CANDIDATES,"","",""
1. NOMINATED,"","",""
2. REJECTED,"","",""
3. WITHDRAWN,"","",""
4. CONTESTED,3,1,4
5. FORFEITED DEPOSIT,2,0,2
II.  ELECTORS,"","",""
1. GENERAL,498761,465253,964014
2. SERVICE,0,0,0
3. TOTAL,498761,465253,964014
III.  ELECTORS WHO VOTED,"","",""
1. GENERAL,213869,137015,350884
2. POSTAL,0,0,0
3. TOTAL,213869,137015,350884
IV.  VOTES,"","",""
1. POLLED,350884,( 36.40%  of Total Electors),""
2. VALID,337897,"",""
3. REJECTED,12987,( 3.70%  of Total Votes Polled),""
4. MISSING,"","",""
5. BALLOT PAPER SET APART,0,"",""
6. TENDERED,0,"",""
V.  POLLING STATIONS,"","",""
NUMBER : 1093 AV,ERAGE ELE,CTORS PER POLLING S,TATION  : 882
VI.  DATES,"","",""
POLLING,COUNTING,DECLARATION O,F RESULT
19-02-1992,"","",""
VII. RESULT,"","",""
PARTY,CANDIDATE,"",VOTES
Winner: INC,SUKHBUNS KA,UR (W),172391
Runner up  : BJP,OM PRAKASH B,HARDWAJ,104394
MARGIN: 67997 ( 20.12% of Total, Valid Votes ),"",""
(rptConstituencySummary - Page 1 of  13),"","",""
"",2,"",""


Election Commission of Indi,"a, General Electi","ons, 1992 (10th LOK SABHA)",""
CONSTITUENC,Y DATA, - SUMMARY,""
STATE/UT : PUNJAB,"",CODE :,S19
CONSTITUENCY : AMRITSAR,"",NO :,2
"",MALE,FEMALE,TOTAL
I.  CANDIDATES,"","",""
1. NOMINATED,"","",""
2. REJECTED,"","",""
3. WITHDRAWN,"","",""
4. CONTESTED,4,0,4
5. FORFEITED DEPOSIT,2,0,2
II.  ELECTORS,"","",""
1. GENERAL,554737,463220,1017957
2. SERVICE,0,0,0
3. TOTAL,554737,463220,1017957
III.  ELECTORS WHO VOTED,"","",""
1. GENERAL,157358,90020,247378
2. POSTAL,0,0,0
3. TOTAL,157358,90020,247378
IV.  VOTES,"","",""
1. POLLED,247378,( 24.30%  of Total Electors),""
2. VALID,236342,"",""
3. REJECTED,11036,( 4.46%  of Total Votes Polled),""
4. MISSING,"","",""
5. BALLOT PAPER SET APART,0,"",""
6. TENDERED,0,"",""
V.  POLLING STATIONS,"","",""
NUMBER : 1063 AV,ERAGE ELE,CTORS PER POLLING S,TATION  : 958
VI.  DATES,"","",""
POLLING,COUNTING,DECLARATION O,F RESULT
19-02-1992,"","",""
VII. RESULT,"","",""
PARTY,CANDIDATE,"",VOTES
Winner: INC,RAGHUNANDA,N LAL BHATIA,142896
Runner up  : BJP,BALDEV RAJ C,HAWLA,85543
MARGIN: 57353 ( 24.27% of Total, Valid Votes ),"",""
(rptConstituencySummary - Page 2 of  13),"","",""
"",3,"",""


Election Commission of Indi,"a, General Electi","ons, 1992 (10th LOK SABHA)",""
CONSTITUENC,Y DATA, - SUMMARY,""
STATE/UT : PUNJAB,"",CODE :,S19
CONSTITUENCY : TARN TARAN,"",NO :,3
"",MALE,FEMALE,TOTAL
I.  CANDIDATES,"","",""
1. NOMINATED,"","",""
2. REJECTED,"","",""
3. WITHDRAWN,"","",""
4. CONTESTED,4,0,4
5. FORFEITED DEPOSIT,2,0,2
II.  ELECTORS,"","",""
1. GENERAL,502925,444087,947012
2. SERVICE,0,0,0
3. TOTAL,502925,444087,947012
III.  ELECTORS WHO VOTED,"","",""
1. GENERAL,63206,26742,89948
2. POSTAL,0,0,0
3. TOTAL,63206,26742,89948
IV.  VOTES,"","",""
1. POLLED,89948,( 9.50%  of Total Electors),""
2. VALID,84393,"",""
3. REJECTED,5555,( 6.18%  of Total Votes Polled),""
4. MISSING,"","",""
5. BALLOT PAPER SET APART,0,"",""
6. TENDERED,0,"",""
V.  POLLING STATIONS,"","",""
NUMBER : 1012 AV,ERAGE ELE,CTORS PER POLLING S,TATION  : 936
VI.  DATES,"","",""
POLLING,COUNTING,DECLARATION O,F RESULT
19-02-1992,"","",""
VII. RESULT,"","",""
PARTY,CANDIDATE,"",VOTES
Winner: INC,SURINDER SIN,GH KAIRON,65139
Runner up  : BSP,HARBHAJAN S,INGH OSAHAN,14493
MARGIN: 50646 ( 60.01% of Total, Valid Votes ),"",""
(rptConstituencySummary - Page 3 of  13),"","",""
"",4,"",""


Election Commission of Indi,"a, General Electi","ons, 1992 (10th LOK SABHA)",""
CONSTITUENC,Y DATA, - SUMMARY,""
STATE/UT : PUNJAB,"",CODE :,S19
CONSTITUENCY : JULLUNDUR,"",NO :,4
"",MALE,FEMALE,TOTAL
I.  CANDIDATES,"","",""
1. NOMINATED,"","",""
2. REJECTED,"","",""
3. WITHDRAWN,"","",""
4. CONTESTED,10,0,10
5. FORFEITED DEPOSIT,9,0,9
II.  ELECTORS,"","",""
1. GENERAL,502052,461777,963829
2. SERVICE,0,0,0
3. TOTAL,502052,461777,963829
III.  ELECTORS WHO VOTED,"","",""
1. GENERAL,174508,123720,298228
2. POSTAL,0,0,0
3. TOTAL,174508,123720,298228
IV.  VOTES,"","",""
1. POLLED,298228,( 30.94%  of Total Electors),""
2. VALID,288655,"",""
3. REJECTED,9573,( 3.21%  of Total Votes Polled),""
4. MISSING,"","",""
5. BALLOT PAPER SET APART,0,"",""
6. TENDERED,0,"",""
V.  POLLING STATIONS,"","",""
NUMBER : 1050 AV,ERAGE ELE,CTORS PER POLLING S,TATION  : 918
VI.  DATES,"","",""
POLLING,COUNTING,DECLARATION O,F RESULT
19-02-1992,"","",""
VII. RESULT,"","",""
PARTY,CANDIDATE,"",VOTES
Winner: INC,YASH,"",160168
Runner up  : BJP,JUGAL MAHAJ,AN,46355
MARGIN: 113813 ( 39.43% of Total, Valid Votes ),"",""
(rptConstituencySummary - Page 4 of  13),"","",""
"",5,"",""


Election Commission of Indi,"a, General Electi","ons, 1992 (10th LOK SABHA)",""
CONSTITUENC,Y DATA, - SUMMARY,""
STATE/UT : PUNJAB,"",CODE :,S19
CONSTITUENCY : PHILLAUR (SC),"",NO :,5
"",MALE,FEMALE,TOTAL
I.  CANDIDATES,"","",""
1. NOMINATED,"","",""
2. REJECTED,"","",""
3. WITHDRAWN,"","",""
4. CONTESTED,4,1,5
5. FORFEITED DEPOSIT,2,0,2
II.  ELECTORS,"","",""
1. GENERAL,533966,489491,1023457
2. SERVICE,0,0,0
3. TOTAL,533966,489491,1023457
III.  ELECTORS WHO VOTED,"","",""
1. GENERAL,148786,109047,257833
2. POSTAL,0,0,0
3. TOTAL,148786,109047,257833
IV.  VOTES,"","",""
1. POLLED,257833,( 25.19%  of Total Electors),""
2. VALID,247246,"",""
3. REJECTED,10587,( 4.11%  of Total Votes Polled),""
4. MISSING,"","",""
5. BALLOT PAPER SET APART,0,"",""
6. TENDERED,0,"",""
V.  POLLING STATIONS,"","",""
NUMBER : 1153 AV,ERAGE ELE,CTORS PER POLLING S,TATION  : 888
VI.  DATES,"","",""
POLLING,COUNTING,DECLARATION O,F RESULT
19-02-1992,"","",""
VII. RESULT,"","",""
PARTY,CANDIDATE,"",VOTES
Winner: INC,SANTOSH CHA,UDHARY (W),99385
Runner up  : BSP,HARBHAJAN L,AKHA,93601
MARGIN: 5784 ( 2.34% of Total, Valid Votes ),"",""
(rptConstituencySummary - Page 5 of  13),"","",""
"",6,"",""


Election Commission of Indi,"a, General Electi","ons, 1992 (10th LOK SABHA)",""
CONSTITUENC,Y DATA, - SUMMARY,""
STATE/UT : PUNJAB,"",CODE :,S19
CONSTITUENCY : HOSHIARPUR,"",NO :,6
"",MALE,FEMALE,TOTAL
I.  CANDIDATES,"","",""
1. NOMINATED,"","",""
2. REJECTED,"","",""
3. WITHDRAWN,"","",""
4. CONTESTED,9,1,10
5. FORFEITED DEPOSIT,7,0,7
II.  ELECTORS,"","",""
1. GENERAL,534027,425049,959076
2. SERVICE,0,0,0
3. TOTAL,534027,425049,959076
III.  ELECTORS WHO VOTED,"","",""
1. GENERAL,193651,161633,355284
2. POSTAL,0,0,0
3. TOTAL,193651,161633,355284
IV.  VOTES,"","",""
1. POLLED,355284,( 37.04%  of Total Electors),""
2. VALID,340892,"",""
